"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020015975","","0","IN","P673863","2020","7","1"
"2020104055","","0","PA","XMA1350","2020","6","1"
"2020105451","","0","PA","PT5948A","2021","7","1"
"2020040392","","0","TN","U744668","2018","7","1"
"2020068977","","0","PA","XMJ7654","2021","3","2"
"2020072913","","0","ZZ","UNKNOWN","2021","7","1"
"2020047554","","0","ME","2580946","2005","6","1"
"2020082914","","0","PA","XGV7089","2023","3","2"
"2020089310","","0","PA","PT7115P","2020","7","1"
"2020040566","","0","PA","XHR5292","2019","3","1"
"2020097725","","0","OH","TNF3274","2021","7","1"
"2020022915","","0","ON","R7106T","2020","7","1"
"2020068628","","0","PA","PT9204W","9999","7","2"
"2020092330","","0","DE","XP820949","2020","6","4"
"2020095196","","0","IA","FJ6158","2099","7","1"
"2020066656","","0","IN","P989294","2021","7","1"
"2020067503","","0","AL","A0624555","2020","7","1"
"2020024320","","0","IL","701429ST","2020","7","1"
"2020017075","","0","IN","P403364","","7","1"
"2020066646","","0","OH","TQE4112","2021","7","1"
"2020066646","","0","PA","PT305D9","2099","7","2"
"2020094361","","0","IN","P923014","2020","7","1"
"2020103163","","0","PA","XJM9848","2020","3","2"
"2020087034","","0","PA","XGR4152","2021","3","2"
"2020091493","","0","ME","B576606","2019","7","1"
"2020100321","","0","PA","XDE7577","2021","3","1"
"2020071635","","0","PA","PT8943X","2020","7","2"
"2020095617","","0","PA","XHK0004","2002","3","1"
"2020049204","","0","MI","D133264","2099","7","1"
"2020049204","","0","IL","503580ST","2099","7","2"
"2020109702","","0","NJ","TVB87M","2022","7","1"
"2020072704","","0","NJ","TWD17Y","2020","8","1"
"2020026029","","0","PA","","","1","1"
"2020027460","","0","ME","3111929","2031","7","2"
"2020030990","","0","PA","XM03923","","3","1"
"2020104479","","0","PA","PT810F1","2021","7","2"
"2020103813","","0","TN","U567962","2021","7","2"
"2021000392","","0","PA","XV23423","2021","7","1"
"2020018146","","0","ME","745ID","2020","7","2"
"2021006261","","0","OK","1930LN","2020","7","1"
"2020069199","","0","ZZ","UNKNOWN","","7","2"
